Year,Player,Age,Hometown,Home State,Tm,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year
2006,LaDainian Tomlinson,27,Rosebud,TX,SDG,70,221,TCU,Big 12,138,49,6/23/1979,1,2001
2013,Peyton Manning,37,New Orleans,LA,DEN,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998
2007,Tom Brady,30,San Mateo,CA,NWE,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000
2011,Aaron Rodgers,28,Chico,CA,GNB,74,223,California,Pac 12,90,94,12/2/1983,1,2005
2011,Drew Brees,32,Austin,TX,NOR,73,209,Purdue,Big Ten,92,94,1/15/1979,2,2001
2004,Daunte Culpepper,27,Ocala,FL,MIN,76,264,Central Florida,American,99,86,1/28/1977,1,1999
2000,Marshall Faulk,27,New Orleans,LA,STL,70,211,San Diego St.,Mountain West,77,104,2/26/1973,1,1994
2011,Cam Newton,22,College Park,GA,CAR,78,260,Auburn,SEC,130,61,5/11/1989,1,2011
2003,Priest Holmes,30,Fort Smith,AR,KAN,69,213,Texas,Big 12,149,45,10/7/1973,0,0
2002,Priest Holmes,29,Fort Smith,AR,KAN,69,213,Texas,Big 12,149,45,10/7/1973,0,0
2011,Tom Brady,34,San Mateo,CA,NWE,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000
2005,Shaun Alexander,28,Florence,KY,SEA,71,225,Alabama,SEC,114,58,8/30/1977,1,2000
2004,Peyton Manning,28,New Orleans,LA,IND,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998
2013,Drew Brees,34,Austin,TX,NOR,73,209,Purdue,Big Ten,92,94,1/15/1979,2,2001
2009,Aaron Rodgers,26,Chico,CA,GNB,74,0,California,Pac 12,90,94,12/2/1983,1,2005
2000,Daunte Culpepper,23,Ocala,FL,MIN,76,264,Central Florida,American,99,86,1/28/1977,1,1999
2009,Chris Johnson,24,Orlando,FL,TEN,71,195,East Carolina,American,97,90,9/23/1985,1,2008
2012,Drew Brees,33,Austin,TX,NOR,73,0,Purdue,Big Ten,92,94,1/0/1900,2,2001
2011,Matthew Stafford,23,Tampa,FL,DET,74,230,Georgia,SEC,142,53,2/7/1988,1,2009
2003,Ahman Green,26,Omaha,NE,GNB,73,217,Nebraska,Big Ten,134,61,2/16/1977,3,1998
2012,Aaron Rodgers,29,Chico,CA,GNB,74,0,California,Pac 12,90,94,1/0/1900,1,2005
2003,LaDainian Tomlinson,24,Rosebud,TX,SDG,70,221,TCU,Big 12,138,49,6/23/1979,1,2001
2001,Marshall Faulk,28,New Orleans,LA,STL,70,211,San Diego St.,Mountain West,77,104,2/26/1973,1,1994
2000,Jeff Garcia,30,Gilroy,CA,SFO,73,195,San Jose St.,Mountain West,72,107,2/24/1970,0,0
2000,Edgerrin James,22,Immokalee,FL,IND,73,214,Miami (FL),ACC,130,58,8/1/1978,1,1999
2012,Tom Brady,35,San Mateo,CA,NWE,76,0,Michigan,Big Ten,124,64,1/0/1900,6,2000
2005,Larry Johnson,26,State College,PA,KAN,73,228,Penn St.,Big Ten,15,68,11/19/1979,1,2003
2006,Larry Johnson,27,State College,PA,KAN,73,228,Penn St.,Big Ten,15,68,11/19/1979,1,2003
2010,Arian Foster,24,San Diego,CA,HOU,73,232,Tennessee,SEC,113,75,8/24/1986,0,0
1999,Kurt Warner,28,Burlington,IA,STL,74,220,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/1971,0,0
2006,Steven Jackson,23,Las Vegas,NV,STL,75,229,Oregon St.,Pac 12,111,76,7/22/1983,1,2004
2002,Ricky Williams,25,Dallas,TX,MIA,67,195,Texas Tech,Big 12,120,70,8/29/1978,0,0
2012,Cam Newton,23,College Park,GA,CAR,78,0,Auburn,SEC,130,61,1/0/1900,1,2011
2012,Robert Griffin,22,Okinawa,Japan,WAS,74,0,Baylor,Big 12,71,108,1/0/1900,1,2012
1999,Marshall Faulk,26,New Orleans,LA,STL,70,211,San Diego St.,Mountain West,77,104,2/26/1973,1,1994
2005,LaDainian Tomlinson,26,Rosebud,TX,SDG,70,221,TCU,Big 12,138,49,6/23/1979,1,2001
1999,Edgerrin James,21,Immokalee,FL,IND,73,214,Miami (FL),ACC,130,58,8/1/1978,1,1999
1999,Steve Beuerlein,34,Los Angeles,CA,CAR,75,220,Notre Dame,Independent,112,74,3/7/1965,4,1987
2010,Michael Vick,30,Newport News,VA,PHI,73,0,Virginia Tech,ACC,147,50,6/26/1980,1,2001
2006,Peyton Manning,30,New Orleans,LA,IND,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998
2003,Jamal Lewis,24,Atlanta,GA,BAL,71,240,Tennessee,SEC,113,75,8/29/1979,1,2000
2012,Peyton Manning,36,New Orleans,LA,DEN,77,0,Tennessee,SEC,113,75,1/0/1900,1,1998
2002,Rich Gannon,37,Philadelphia,PA,OAK,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/1965,4,1987
2007,LaDainian Tomlinson,28,Rosebud,TX,SDG,12,221,TCU,Big 12,138,49,6/23/1979,1,2001
2013,Jamaal Charles,27,Port Arthur,TX,KAN,73,200,Texas,Big 12,149,45,12/27/1986,3,2008
2004,Shaun Alexander,27,Florence,KY,SEA,71,225,Alabama,SEC,114,58,8/30/1977,1,2000
2012,Adrian Peterson,27,Palestine,TX,MIN,74,217,Oklahoma,Big 12,160,39,3/21/1985,1,2007
2002,LaDainian Tomlinson,23,Rosebud,TX,SDG,70,221,TCU,Big 12,138,49,6/23/1979,1,2001
2005,Tiki Barber,30,Roanoke,VA,NYG,70,200,Virginia,ACC,90,95,4/7/1975,2,1997
2010,Aaron Rodgers,27,Chico,CA,GNB,74,0,California,Pac 12,90,94,12/2/1983,1,2005
2000,Rich Gannon,35,Philadelphia,PA,OAK,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/1965,4,1987
2009,Drew Brees,30,Austin,TX,NOR,73,0,Purdue,Big Ten,92,94,1/15/1979,2,2001
2012,Matt Ryan,27,Exton,PA,ATL,77,0,Boston Col.,ACC,116,74,1/0/1900,1,2008
2008,Drew Brees,29,Austin,TX,NOR,73,0,Purdue,Big Ten,92,94,1/15/1979,2,2001
2001,Jeff Garcia,31,Gilroy,CA,SFO,73,195,San Jose St.,Mountain West,72,107,2/24/1970,0,0
2002,Daunte Culpepper,25,Ocala,FL,MIN,76,264,Central Florida,American,99,86,1/28/1977,1,1999
2004,Donovan McNabb,28,Chicago,IL,PHI,74,240,Syracuse,ACC,81,101,11/25/1976,1,1999
2010,Tom Brady,33,San Mateo,CA,NWE,76,0,Michigan,Big Ten,124,64,8/3/1977,6,2000
2001,Kurt Warner,30,Burlington,IA,STL,74,220,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/1971,0,0
2011,Ray Rice,24,New Rochelle,NY,BAL,69,195,Rutgers,Big Ten,87,96,1/22/1987,2,2008
2000,Peyton Manning,24,New Orleans,LA,IND,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998
2004,Tiki Barber,29,Roanoke,VA,NYG,70,200,Virginia,ACC,90,95,4/7/1975,2,1997
2007,Tony Romo,27,San Diego,CA,DAL,74,219,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/1980,0,0
2013,Cam Newton,24,College Park,GA,CAR,78,260,Auburn,SEC,130,61,5/11/1989,1,2011
