VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Electric Range,Base MSRP,StateID
3FA6P0PU2G,Fairbanks North Star,Fairbanks,AK,99701,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),222,28000,105
5YJ3E1EA7K,San Diego,San Diego,CA,92101,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,120
5YJ3E1EB5J,Santa Clara,Cupertino,CA,95014,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,120
5YJ3E1EA9M,Ventura,Ventura,CA,93001,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,120
2T3YL4DV4D,San Diego,San Diego,CA,92154,2013,TOYOTA,RAV4,Battery Electric Vehicle (BEV),103,41590,120
JTDKN3DPXC,Los Angeles,Lakewood,CA,90713,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6,27450,120
2C4RC1N74L,Ventura,Camarillo,CA,93010,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),220,44995,120
5YJ3E1EB0N,Riverside,Menifee,CA,92585,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,120
5YJYGDEDXM,San Diego,Chula Vista,CA,91913,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,120
5YJ3E1ECXN,Ventura,Ventura,CA,93001,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,120
1FADP5CU6F,District of Columbia,Washington,DC,20002,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),47,24995,140
WBA8E1C59H,District of Columbia,Washington,DC,20024,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),22,45500,140
5YJ3E1EB2L,District of Columbia,Washington,DC,20009,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,140
7SAYGDEF4N,District of Columbia,Washington,DC,20003,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,140
5YJYGDEE2L,District of Columbia,Washington,DC,20007,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,140
1N4AZ1CP1J,District of Columbia,Washington,DC,20002,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,28000,140
7SAYGDEF9N,Kent,Dover,DE,19901,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,135
5YJ3E1EB8J,Honolulu,Mililani,HI,96789,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,155
1C4JJXR65N,Kauai,Kekaha,HI,96752,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),22,54375,155
1C4JJXP69M,Honolulu,Ewa Beach,HI,96706,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),25,54375,155
5YJSA1E26K,Honolulu,Honolulu,HI,96818,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),250,75000,155
