theme,url,image,lines
GET OUTSIDE,https:/:/inspirational-quotes/7511-to-be-whole-to-be-complete-wildness-reminds,https://assets.passiton.com/quotes/quote_artwork/7511/medium/20230523_tuesday_quote.jpg,"To be whole. To be complete. Wildness reminds us what it means to be human, what we are connected to rather than what we are separate from."
GET OUTSIDE,https:/:/inspirational-quotes/7928-the-world-is-incomprehensibly-beautiful-an,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20230522_monday_quote.jpg,The world is incomprehensibly beautiful—an endless prospect of magic and wonder.
LOVE,https:/:/inspirational-quotes/6256-love-and-kindness-are-never-wasted-they-always,https://assets.passiton.com/quotes/quote_artwork/6256/medium/20230519_friday_quote.jpg,Love and kindness are never wasted. They always make a difference.
LOVE,https:/:/inspirational-quotes/7221-nobody-has-ever-measured-not-even-poets-how,https://assets.passiton.com/quotes/quote_artwork/7221/medium/20230518_thursday_quote.jpg,"Nobody has ever measured, not even poets, how much the heart can hold."
LOVE,https:/:/inspirational-quotes/7444-where-there-is-love-there-is-life,https://assets.passiton.com/quotes/quote_artwork/7444/medium/20230517_wednesday_quote.jpg,Where there is love there is life.
LOVE,https:/:/inspirational-quotes/8190-the-best-thing-to-hold-onto-in-life-is-each-other,https://assets.passiton.com/quotes/quote_artwork/8190/medium/20230516_tuesday_quote.jpg,The best thing to hold onto in life is each other.
LOVE,https:/:/inspirational-quotes/3420-the-highest-vocation-we-can-have-is-love,https://assets.passiton.com/quotes/quote_artwork/3420/medium/20230515_monday_quote.jpg,The highest vocation we can have is love.
COMPASSION,https:/:/inspirational-quotes/8285-use-your-voice-for-kindness-your-ears-for,https://assets.passiton.com/quotes/quote_artwork/8285/medium/20230512_friday_quote.jpg,"Use your voice for kindness, your ears for compassion, your hands for charity, your mind for truth, and your heart for love."
COMPASSION,https:/:/inspirational-quotes/8200-there-never-was-any-heart-truly-great-and,https://assets.passiton.com/quotes/quote_artwork/8200/medium/20230511_thursday_quote.jpg,"There never was any heart truly great and generous, that was not also tender and compassionate."
COMPASSION,https:/:/inspirational-quotes/4435-if-you-are-going-to-be-compassionate-be,https://assets.passiton.com/quotes/quote_artwork/4435/medium/20230510_wednesday_quote.jpg,"If you are going to be compassionate, be prepared for action!"
